,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
1,2025-02-08,Hertha,Kaiserslautern,"0,54","2,54","Action: Double Chance X2 , Risky Double Chance X2
","Home: Hertha, Away: Kaiserslautern
Pts (All M): 25 VS 35
Pts Against Higher: 0 VS 10
Pts (Last 5): 4 VS 10
Position: 11 VS 2

BTTS (All M): 0.67 VS 0.5
Shots (All M):  12.1 VS 12.5
Shots (Last 5):  12.7 VS 13.5
Shots (AHR):  11.0 VS 13.6

Shots Tar (All M):  4.3 VS 4.7
Shots Tar (Last 5):  4.8 VS 5.0
Shots Tar (AHR):  4.0 VS 4.9

HT Gs (All M)):  0.2 VS 0.3
HT Gs (Last 5):  0.3 VS 0.5
HT Gs (AHR):  0.0 VS 0.4
FT Gs (All M)):  1.3 VS 1.6
FT Gs (Last 5):  1.5 VS 2.0
FT Gs (AHR):  0.8 VS 1.9

Scored at least 1 Goal (All M):  0.78 VS 0.7
Average conceded per match (All M): 1.89 VS 1.5
Scored at least 1 Goal (Last 5)):  0.83 VS 0.67
Scored at least 1 Goal (AHR):  0.5 VS 0.71
"
20,2025-02-08,Peterboro,Birmingham,"0,56","2,16","Action: Double Chance X2 , Risky Double Chance X2
","Home: Peterboro, Away: Birmingham
Pts (All M): 30 VS 63
Pts Against Higher: 0 VS 27
Pts (Last 5): 8 VS 14
Position: 19 VS 1

BTTS (All M): 0.62 VS 0.57
Shots (All M):  10.2 VS 10.4
Shots (Last 5):  9.2 VS 7.5
Shots (AHR):  7.0 VS 10.1

Shots Tar (All M):  4.4 VS 3.5
Shots Tar (Last 5):  4.2 VS 3.2
Shots Tar (AHR):  1.0 VS 3.3

HT Gs (All M)):  0.9 VS 0.9
HT Gs (Last 5):  0.7 VS 0.7
HT Gs (AHR):  0.0 VS 1.0
FT Gs (All M)):  1.8 VS 1.7
FT Gs (Last 5):  1.2 VS 1.5
FT Gs (AHR):  0.0 VS 1.8

Scored at least 1 Goal (All M):  0.69 VS 0.93
Average conceded per match (All M): 1.62 VS 0.86
Scored at least 1 Goal (Last 5)):  0.67 VS 1.0
Scored at least 1 Goal (AHR):  0.0 VS 0.92
"
6,2025-02-08,Bradford,Harrogate,"1,97","0,26","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Bradford, Away: Harrogate
Pts (All M): 47 VS 30
Pts Against Higher: 27 VS 0
Pts (Last 5): 18 VS 4
Position: 7 VS 20

BTTS (All M): 0.64 VS 0.47
Shots (All M):  12.7 VS 9.0
Shots (Last 5):  11.5 VS 11.0
Shots (AHR):  12.4 VS 7.2

Shots Tar (All M):  4.9 VS 3.2
Shots Tar (Last 5):  4.8 VS 3.5
Shots Tar (AHR):  4.9 VS 3.0

HT Gs (All M)):  0.9 VS 0.3
HT Gs (Last 5):  1.2 VS 0.3
HT Gs (AHR):  0.9 VS 0.0
FT Gs (All M)):  1.7 VS 0.9
FT Gs (Last 5):  2.0 VS 1.0
FT Gs (AHR):  1.8 VS 0.0

Scored at least 1 Goal (All M):  0.86 VS 0.6
Average conceded per match (All M): 0.71 VS 1.33
Scored at least 1 Goal (Last 5)):  1.0 VS 0.83
Scored at least 1 Goal (AHR):  0.83 VS 0.0
"
8,2025-02-08,Crewe,Newport County,"1,98","0,86","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Crewe, Away: Newport County
Pts (All M): 48 VS 30
Pts Against Higher: 17 VS 3
Pts (Last 5): 9 VS 3
Position: 5 VS 19

BTTS (All M): 0.43 VS 0.47
Shots (All M):  11.1 VS 7.5
Shots (Last 5):  11.8 VS 7.5
Shots (AHR):  10.8 VS 8.0

Shots Tar (All M):  3.9 VS 2.1
Shots Tar (Last 5):  4.0 VS 2.5
Shots Tar (AHR):  3.5 VS 2.3

HT Gs (All M)):  0.9 VS 0.6
HT Gs (Last 5):  0.8 VS 0.7
HT Gs (AHR):  0.8 VS 0.7
FT Gs (All M)):  1.5 VS 0.9
FT Gs (Last 5):  1.5 VS 1.2
FT Gs (AHR):  1.3 VS 1.0

Scored at least 1 Goal (All M):  0.71 VS 0.6
Average conceded per match (All M): 0.93 VS 1.87
Scored at least 1 Goal (Last 5)):  0.67 VS 0.67
Scored at least 1 Goal (AHR):  0.64 VS 0.67
"
12,2025-02-08,Notts County,Morecambe,"1,58","0,23","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Notts County, Away: Morecambe
Pts (All M): 50 VS 23
Pts Against Higher: 24 VS 0
Pts (Last 5): 11 VS 4
Position: 3 VS 23

BTTS (All M): 0.31 VS 0.33
Shots (All M):  16.1 VS 8.2
Shots (Last 5):  16.5 VS 8.2
Shots (AHR):  16.1 VS 6.4

Shots Tar (All M):  5.5 VS 2.6
Shots Tar (Last 5):  5.7 VS 2.3
Shots Tar (AHR):  5.5 VS 1.6

HT Gs (All M)):  0.8 VS 0.3
HT Gs (Last 5):  1.2 VS 0.2
HT Gs (AHR):  0.8 VS 0.0
FT Gs (All M)):  1.4 VS 0.8
FT Gs (Last 5):  1.3 VS 0.5
FT Gs (AHR):  1.4 VS 0.0

Scored at least 1 Goal (All M):  0.77 VS 0.47
Average conceded per match (All M): 0.62 VS 1.33
Scored at least 1 Goal (Last 5)):  0.83 VS 0.33
Scored at least 1 Goal (AHR):  0.77 VS 0.0
"
13,2025-02-08,Salford,Tranmere,"2,23","0,74","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Salford, Away: Tranmere
Pts (All M): 44 VS 26
Pts Against Higher: 22 VS 1
Pts (Last 5): 13 VS 0
Position: 8 VS 22

BTTS (All M): 0.29 VS 0.5
Shots (All M):  14.4 VS 10.2
Shots (Last 5):  14.7 VS 9.2
Shots (AHR):  14.2 VS 10.2

Shots Tar (All M):  4.6 VS 3.1
Shots Tar (Last 5):  5.2 VS 2.8
Shots Tar (AHR):  4.5 VS 2.2

HT Gs (All M)):  0.6 VS 0.4
HT Gs (Last 5):  1.0 VS 0.3
HT Gs (AHR):  0.8 VS 0.4
FT Gs (All M)):  1.2 VS 0.6
FT Gs (Last 5):  1.7 VS 0.5
FT Gs (AHR):  1.3 VS 0.6

Scored at least 1 Goal (All M):  0.71 VS 0.5
Average conceded per match (All M): 0.86 VS 2.21
Scored at least 1 Goal (Last 5)):  0.83 VS 0.5
Scored at least 1 Goal (AHR):  0.75 VS 0.6
"
15,2025-02-08,Bolton,Crawley Town,"2,18","0,51","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Bolton, Away: Crawley Town
Pts (All M): 44 VS 24
Pts Against Higher: 24 VS 3
Pts (Last 5): 7 VS 4
Position: 6 VS 22

BTTS (All M): 0.6 VS 0.33
Shots (All M):  15.0 VS 11.9
Shots (Last 5):  13.3 VS 10.8
Shots (AHR):  15.0 VS 10.3

Shots Tar (All M):  5.1 VS 4.3
Shots Tar (Last 5):  4.7 VS 4.3
Shots Tar (AHR):  5.1 VS 4.6

HT Gs (All M)):  0.6 VS 0.5
HT Gs (Last 5):  0.8 VS 0.8
HT Gs (AHR):  0.6 VS 0.3
FT Gs (All M)):  1.7 VS 0.9
FT Gs (Last 5):  1.7 VS 1.3
FT Gs (AHR):  1.7 VS 0.6

Scored at least 1 Goal (All M):  0.73 VS 0.47
Average conceded per match (All M): 1.47 VS 1.87
Scored at least 1 Goal (Last 5)):  0.83 VS 0.5
Scored at least 1 Goal (AHR):  0.73 VS 0.43
"
21,2025-02-08,Rotherham,Shrewsbury,"1,87","0,55","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Rotherham, Away: Shrewsbury
Pts (All M): 37 VS 23
Pts Against Higher: 27 VS 3
Pts (Last 5): 13 VS 2
Position: 15 VS 23

BTTS (All M): 0.57 VS 0.43
Shots (All M):  14.6 VS 9.1
Shots (Last 5):  15.2 VS 7.0
Shots (AHR):  14.6 VS 7.2

Shots Tar (All M):  5.1 VS 2.7
Shots Tar (Last 5):  5.5 VS 2.0
Shots Tar (AHR):  5.1 VS 2.2

HT Gs (All M)):  0.7 VS 0.3
HT Gs (Last 5):  1.3 VS 0.0
HT Gs (AHR):  0.7 VS 0.3
FT Gs (All M)):  1.6 VS 0.9
FT Gs (Last 5):  2.2 VS 0.7
FT Gs (AHR):  1.6 VS 0.6

Scored at least 1 Goal (All M):  0.71 VS 0.43
Average conceded per match (All M): 1.0 VS 1.79
Scored at least 1 Goal (Last 5)):  0.83 VS 0.5
Scored at least 1 Goal (AHR):  0.71 VS 0.4
"
27,2025-02-08,Pisa,Cittadella,"3,03","1,07","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Pisa, Away: Cittadella
Pts (All M): 51 VS 28
Pts Against Higher: 23 VS 0
Pts (Last 5): 16 VS 10
Position: 2 VS 14

BTTS (All M): 0.58 VS 0.33
Shots (All M):  14.9 VS 11.3
Shots (Last 5):  14.5 VS 10.2
Shots (AHR):  15.3 VS 10.7

Shots Tar (All M):  4.3 VS 3.1
Shots Tar (Last 5):  4.3 VS 3.5
Shots Tar (AHR):  4.3 VS 3.0

HT Gs (All M)):  1.0 VS 0.4
HT Gs (Last 5):  1.0 VS 0.3
HT Gs (AHR):  1.0 VS 0.3
FT Gs (All M)):  2.0 VS 0.8
FT Gs (Last 5):  2.2 VS 1.0
FT Gs (AHR):  2.0 VS 1.0

Scored at least 1 Goal (All M):  0.92 VS 0.67
Average conceded per match (All M): 0.75 VS 1.75
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  0.89 VS 0.67
"
29,2025-02-08,Club Brugge,Oud-Heverlee Leuven,"2,13","0,50","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Club Brugge, Away: Oud-Heverlee Leuven
Pts (All M): 48 VS 29
Pts Against Higher: 17 VS 2
Pts (Last 5): 16 VS 5
Position: 2 VS 10

BTTS (All M): 0.67 VS 0.42
Shots (All M):  19.1 VS 11.7
Shots (Last 5):  17.7 VS 11.2
Shots (AHR):  20.0 VS 10.6

Shots Tar (All M):  8.0 VS 3.4
Shots Tar (Last 5):  8.5 VS 2.5
Shots Tar (AHR):  7.2 VS 2.8

HT Gs (All M)):  1.1 VS 0.4
HT Gs (Last 5):  1.7 VS 0.5
HT Gs (AHR):  0.6 VS 0.2
FT Gs (All M)):  2.7 VS 0.6
FT Gs (Last 5):  3.7 VS 0.7
FT Gs (AHR):  2.0 VS 0.4

Scored at least 1 Goal (All M):  1.0 VS 0.5
Average conceded per match (All M): 1.17 VS 1.5
Scored at least 1 Goal (Last 5)):  1.0 VS 0.5
Scored at least 1 Goal (AHR):  1.0 VS 0.4
"
