,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision
0,2025-05-03,Heracles,Almere City,"0,74","0,23","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
1,2025-05-03,Sparta Rotterdam,Go Ahead Eagles,"0,68","0,03","Action: Away goals under 1.5 and Draw no bet 1X 
 And Goals Under 3.5
"
2,2025-05-03,Willem II,Waalwijk,"0,01","0,60","Action: Goals Under 3.5
"
3,2025-05-03,Portsmouth,West Brom,"1,98","1,00","Action: Draw no bet 1X 
"
