,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
20,2025-02-15,Crawley Town,Wycombe,"1,11","2,75","Action: Double Chance X2 , Risky Double Chance X2
","Home: Crawley Town, Away: Wycombe
Pts (All M): 24 VS 59
Pts Against Higher: 2 VS 31
Pts (Last 5): 8 VS 11
Position: 23 VS 2

BTTS (All M): 0.5 VS 0.8
Shots (All M):  9.7 VS 12.0
Shots (Last 5):  9.7 VS 9.8
Shots (AHR):  8.4 VS 12.0

Shots Tar (All M):  2.7 VS 4.8
Shots Tar (Last 5):  2.3 VS 4.2
Shots Tar (AHR):  1.8 VS 4.8

HT Gs (All M)):  0.4 VS 1.0
HT Gs (Last 5):  0.3 VS 1.0
HT Gs (AHR):  0.2 VS 1.0
FT Gs (All M)):  1.2 VS 2.3
FT Gs (Last 5):  1.3 VS 2.2
FT Gs (AHR):  0.8 VS 2.3

Scored at least 1 Goal (All M):  0.67 VS 1.0
Average conceded per match (All M): 1.67 VS 1.33
Scored at least 1 Goal (Last 5)):  0.83 VS 1.0
Scored at least 1 Goal (AHR):  0.6 VS 1.0
"
34,2025-02-15,St Truiden,Club Brugge,"0,91","2,13","Action: Double Chance X2 , Risky Double Chance X2
","Home: St Truiden, Away: Club Brugge
Pts (All M): 23 VS 51
Pts Against Higher: 4 VS 20
Pts (Last 5): 6 VS 11
Position: 14 VS 2

BTTS (All M): 0.75 VS 0.67
Shots (All M):  16.2 VS 15.4
Shots (Last 5):  19.7 VS 14.5
Shots (AHR):  18.5 VS 15.1

Shots Tar (All M):  5.0 VS 6.1
Shots Tar (Last 5):  5.3 VS 6.3
Shots Tar (AHR):  5.3 VS 5.9

HT Gs (All M)):  0.6 VS 1.0
HT Gs (Last 5):  0.5 VS 1.0
HT Gs (AHR):  0.3 VS 0.9
FT Gs (All M)):  1.3 VS 1.8
FT Gs (Last 5):  1.2 VS 1.8
FT Gs (AHR):  0.8 VS 1.7

Scored at least 1 Goal (All M):  0.83 VS 0.92
Average conceded per match (All M): 1.5 VS 1.17
Scored at least 1 Goal (Last 5)):  0.83 VS 1.0
Scored at least 1 Goal (AHR):  0.67 VS 0.91
"
23,2025-02-15,Reading,Rotherham,"1,31","0,21","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Reading, Away: Rotherham
Pts (All M): 45 VS 37
Pts Against Higher: 12 VS 2
Pts (Last 5): 12 VS 4
Position: 8 VS 14

BTTS (All M): 0.46 VS 0.36
Shots (All M):  11.8 VS 10.9
Shots (Last 5):  9.8 VS 9.7
Shots (AHR):  9.6 VS 11.5

Shots Tar (All M):  4.5 VS 3.3
Shots Tar (Last 5):  4.0 VS 3.2
Shots Tar (AHR):  2.7 VS 3.5

HT Gs (All M)):  0.7 VS 0.4
HT Gs (Last 5):  0.5 VS 0.3
HT Gs (AHR):  0.3 VS 0.2
FT Gs (All M)):  1.9 VS 0.7
FT Gs (Last 5):  1.8 VS 0.7
FT Gs (AHR):  1.1 VS 0.3

Scored at least 1 Goal (All M):  0.85 VS 0.5
Average conceded per match (All M): 0.92 VS 1.36
Scored at least 1 Goal (Last 5)):  0.83 VS 0.5
Scored at least 1 Goal (AHR):  0.71 VS 0.33
"
30,2025-02-15,Sassuolo,Brescia,"2,01","0,73","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Sassuolo, Away: Brescia
Pts (All M): 58 VS 29
Pts Against Higher: 22 VS 2
Pts (Last 5): 18 VS 7
Position: 1 VS 12

BTTS (All M): 0.58 VS 0.58
Shots (All M):  15.2 VS 13.1
Shots (Last 5):  15.8 VS 12.0
Shots (AHR):  13.4 VS 12.8

Shots Tar (All M):  6.6 VS 3.8
Shots Tar (Last 5):  6.8 VS 3.8
Shots Tar (AHR):  6.0 VS 4.0

HT Gs (All M)):  0.8 VS 0.4
HT Gs (Last 5):  0.8 VS 0.7
HT Gs (AHR):  0.9 VS 0.2
FT Gs (All M)):  2.7 VS 0.9
FT Gs (Last 5):  3.3 VS 1.0
FT Gs (AHR):  2.3 VS 0.8

Scored at least 1 Goal (All M):  0.92 VS 0.67
Average conceded per match (All M): 1.0 VS 1.17
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  0.89 VS 0.75
"
32,2025-02-15,Antwerp,Kortrijk,"3,19","0,36","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Antwerp, Away: Kortrijk
Pts (All M): 40 VS 19
Pts Against Higher: 20 VS 1
Pts (Last 5): 11 VS 2
Position: 5 VS 15

BTTS (All M): 0.58 VS 0.5
Shots (All M):  14.9 VS 9.7
Shots (Last 5):  15.3 VS 11.2
Shots (AHR):  14.9 VS 9.1

Shots Tar (All M):  5.5 VS 2.8
Shots Tar (Last 5):  5.3 VS 3.2
Shots Tar (AHR):  5.5 VS 2.7

HT Gs (All M)):  0.8 VS 0.3
HT Gs (Last 5):  0.7 VS 0.3
HT Gs (AHR):  0.8 VS 0.4
FT Gs (All M)):  2.4 VS 0.8
FT Gs (Last 5):  2.0 VS 0.8
FT Gs (AHR):  2.2 VS 0.6

Scored at least 1 Goal (All M):  0.92 VS 0.5
Average conceded per match (All M): 1.08 VS 2.33
Scored at least 1 Goal (Last 5)):  1.0 VS 0.5
Scored at least 1 Goal (AHR):  0.91 VS 0.43
"
35,2025-02-15,Celtic,Dundee United,"2,27","0,43","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Celtic, Away: Dundee United
Pts (All M): 66 VS 37
Pts Against Higher: 7 VS 2
Pts (Last 5): 18 VS 9
Position: 1 VS 3

BTTS (All M): 0.08 VS 0.54
Shots (All M):  21.2 VS 12.2
Shots (Last 5):  20.3 VS 13.7
Shots (AHR):  21.7 VS 8.6

Shots Tar (All M):  7.5 VS 3.8
Shots Tar (Last 5):  8.2 VS 5.2
Shots Tar (AHR):  5.7 VS 3.0

HT Gs (All M)):  1.6 VS 0.2
HT Gs (Last 5):  1.3 VS 0.2
HT Gs (AHR):  1.7 VS 0.4
FT Gs (All M)):  3.3 VS 1.2
FT Gs (Last 5):  3.7 VS 1.3
FT Gs (AHR):  2.3 VS 1.0

Scored at least 1 Goal (All M):  1.0 VS 0.77
Average conceded per match (All M): 0.17 VS 1.23
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  1.0 VS 0.6
"
1,2025-02-15,Elversberg,Greuther Furth,"2,90","1,66","Action: Draw no bet 1X , O1.5  , Risky Double Chance 1X
","Home: Elversberg, Away: Greuther Furth
Pts (All M): 32 VS 26
Pts Against Higher: 17 VS 5
Pts (Last 5): 7 VS 7
Position: 8 VS 11

BTTS (All M): 0.82 VS 0.6
Shots (All M):  14.8 VS 12.8
Shots (Last 5):  14.3 VS 10.8
Shots (AHR):  14.4 VS 10.4

Shots Tar (All M):  4.9 VS 4.3
Shots Tar (Last 5):  5.0 VS 3.7
Shots Tar (AHR):  5.0 VS 4.2

HT Gs (All M)):  1.0 VS 1.0
HT Gs (Last 5):  1.3 VS 1.0
HT Gs (AHR):  1.1 VS 0.8
FT Gs (All M)):  2.1 VS 1.6
FT Gs (Last 5):  1.8 VS 1.3
FT Gs (AHR):  2.2 VS 1.2

Scored at least 1 Goal (All M):  1.0 VS 0.7
Average conceded per match (All M): 2.09 VS 1.9
Scored at least 1 Goal (Last 5)):  1.0 VS 0.67
Scored at least 1 Goal (AHR):  1.0 VS 0.6
"
2,2025-02-15,Fortuna Dusseldorf,Hertha,"1,79","2,82","Action: O1.5 
","Home: Fortuna Dusseldorf, Away: Hertha
Pts (All M): 34 VS 25
Pts Against Higher: 7 VS 17
Pts (Last 5): 8 VS 7
Position: 5 VS 12

BTTS (All M): 0.55 VS 0.73
Shots (All M):  16.3 VS 13.9
Shots (Last 5):  15.2 VS 12.8
Shots (AHR):  16.7 VS 14.0

Shots Tar (All M):  5.6 VS 5.5
Shots Tar (Last 5):  5.3 VS 4.5
Shots Tar (AHR):  5.8 VS 6.3

HT Gs (All M)):  0.9 VS 0.6
HT Gs (Last 5):  1.3 VS 0.5
HT Gs (AHR):  0.6 VS 0.6
FT Gs (All M)):  1.7 VS 1.7
FT Gs (Last 5):  2.2 VS 1.2
FT Gs (AHR):  1.2 VS 2.1

Scored at least 1 Goal (All M):  0.73 VS 0.82
Average conceded per match (All M): 1.91 VS 1.45
Scored at least 1 Goal (Last 5)):  0.83 VS 0.67
Scored at least 1 Goal (AHR):  0.67 VS 0.86
"
14,2025-02-15,Walsall,Chesterfield,"2,34","2,17","Action: O1.5 
","Home: Walsall, Away: Chesterfield
Pts (All M): 59 VS 42
Pts Against Higher: 14 VS 3
Pts (Last 5): 16 VS 4
Position: 1 VS 10

BTTS (All M): 0.67 VS 0.36
Shots (All M):  15.8 VS 10.9
Shots (Last 5):  16.7 VS 10.8
Shots (AHR):  15.2 VS 7.7

Shots Tar (All M):  5.3 VS 4.1
Shots Tar (Last 5):  5.8 VS 4.0
Shots Tar (AHR):  4.7 VS 2.7

HT Gs (All M)):  0.7 VS 0.9
HT Gs (Last 5):  0.7 VS 0.5
HT Gs (AHR):  0.3 VS 0.7
FT Gs (All M)):  2.4 VS 1.6
FT Gs (Last 5):  2.7 VS 0.7
FT Gs (AHR):  2.3 VS 1.3

Scored at least 1 Goal (All M):  1.0 VS 0.64
Average conceded per match (All M): 1.27 VS 1.21
Scored at least 1 Goal (Last 5)):  1.0 VS 0.5
Scored at least 1 Goal (AHR):  1.0 VS 0.67
"
0,2025-02-15,Braunschweig,Darmstadt,"1,68","2,71",No decision Made,"Home: Braunschweig, Away: Darmstadt
Pts (All M): 18 VS 25
Pts Against Higher: 10 VS 12
Pts (Last 5): 6 VS 8
Position: 16 VS 13

BTTS (All M): 0.5 VS 0.8
Shots (All M):  13.1 VS 15.5
Shots (Last 5):  10.3 VS 16.3
Shots (AHR):  14.2 VS 15.5

Shots Tar (All M):  4.7 VS 6.5
Shots Tar (Last 5):  2.5 VS 5.8
Shots Tar (AHR):  5.5 VS 6.5

HT Gs (All M)):  0.6 VS 0.7
HT Gs (Last 5):  0.5 VS 0.7
HT Gs (AHR):  0.6 VS 0.7
FT Gs (All M)):  1.1 VS 2.1
FT Gs (Last 5):  0.8 VS 2.0
FT Gs (AHR):  1.2 VS 2.1

Scored at least 1 Goal (All M):  0.7 VS 0.8
Average conceded per match (All M): 1.2 VS 2.2
Scored at least 1 Goal (Last 5)):  0.5 VS 0.83
Scored at least 1 Goal (AHR):  0.75 VS 0.8
"
