,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
2,2025-02-01,Regensburg,Hertha,"0,47","2,27","Action: Double Chance X2 
","Home: Regensburg, Away: Hertha
Pts (All M): 11 VS 25
Pts Against Higher: 7 VS 18
Pts (Last 5): 6 VS 10
Position: 18 VS 12

BTTS (All M): 0.1 VS 0.8
Shots (All M):  11.6 VS 14.0
Shots (Last 5):  10.7 VS 12.3
Shots (AHR):  10.1 VS 14.0

Shots Tar (All M):  2.9 VS 5.8
Shots Tar (Last 5):  2.7 VS 5.3
Shots Tar (AHR):  2.6 VS 5.8

HT Gs (All M)):  0.2 VS 0.7
HT Gs (Last 5):  0.2 VS 0.7
HT Gs (AHR):  0.1 VS 0.7
FT Gs (All M)):  0.4 VS 1.9
FT Gs (Last 5):  0.5 VS 1.7
FT Gs (AHR):  0.4 VS 1.9

Scored at least 1 Goal (All M):  0.3 VS 0.9
Average conceded per match (All M): 1.4 VS 1.4
Scored at least 1 Goal (Last 5)):  0.33 VS 0.83
Scored at least 1 Goal (AHR):  0.29 VS 0.9
"
3,2025-02-01,Schalke 04,Magdeburg,"0,91","2,88","Action: Double Chance X2 
","Home: Schalke 04, Away: Magdeburg
Pts (All M): 24 VS 32
Pts Against Higher: 1 VS 19
Pts (Last 5): 8 VS 13
Position: 13 VS 3

BTTS (All M): 0.78 VS 0.8
Shots (All M):  15.8 VS 12.9
Shots (Last 5):  15.8 VS 13.7
Shots (AHR):  16.0 VS 13.6

Shots Tar (All M):  6.1 VS 5.6
Shots Tar (Last 5):  5.5 VS 6.0
Shots Tar (AHR):  7.7 VS 5.9

HT Gs (All M)):  1.3 VS 0.8
HT Gs (Last 5):  1.2 VS 0.8
HT Gs (AHR):  0.0 VS 0.8
FT Gs (All M)):  2.2 VS 2.7
FT Gs (Last 5):  1.8 VS 2.7
FT Gs (AHR):  0.7 VS 2.9

Scored at least 1 Goal (All M):  0.89 VS 1.0
Average conceded per match (All M): 2.22 VS 1.3
Scored at least 1 Goal (Last 5)):  0.83 VS 1.0
Scored at least 1 Goal (AHR):  0.67 VS 1.0
"
11,2025-02-01,Morecambe,Fleetwood Town,"0,95","2,21","Action: Double Chance X2 
","Home: Morecambe, Away: Fleetwood Town
Pts (All M): 20 VS 33
Pts Against Higher: 3 VS 14
Pts (Last 5): 3 VS 4
Position: 24 VS 15

BTTS (All M): 0.42 VS 0.55
Shots (All M):  11.9 VS 9.8
Shots (Last 5):  11.2 VS 9.2
Shots (AHR):  11.5 VS 9.8

Shots Tar (All M):  3.7 VS 3.4
Shots Tar (Last 5):  3.0 VS 2.7
Shots Tar (AHR):  3.3 VS 3.4

HT Gs (All M)):  0.4 VS 0.7
HT Gs (Last 5):  0.2 VS 0.5
HT Gs (AHR):  0.5 VS 0.7
FT Gs (All M)):  0.8 VS 1.6
FT Gs (Last 5):  0.7 VS 0.8
FT Gs (AHR):  0.8 VS 1.6

Scored at least 1 Goal (All M):  0.5 VS 0.73
Average conceded per match (All M): 1.83 VS 1.55
Scored at least 1 Goal (Last 5)):  0.33 VS 0.67
Scored at least 1 Goal (AHR):  0.5 VS 0.73
"
22,2025-02-01,Northampton,Huddersfield,"0,88","2,22","Action: Double Chance X2 
","Home: Northampton, Away: Huddersfield
Pts (All M): 27 VS 48
Pts Against Higher: 3 VS 17
Pts (Last 5): 8 VS 14
Position: 19 VS 4

BTTS (All M): 0.33 VS 0.42
Shots (All M):  9.5 VS 13.2
Shots (Last 5):  8.8 VS 13.2
Shots (AHR):  6.8 VS 13.1

Shots Tar (All M):  3.7 VS 4.8
Shots Tar (Last 5):  2.3 VS 5.7
Shots Tar (AHR):  3.0 VS 4.2

HT Gs (All M)):  0.3 VS 0.9
HT Gs (Last 5):  0.5 VS 1.2
HT Gs (AHR):  0.2 VS 0.8
FT Gs (All M)):  0.9 VS 1.8
FT Gs (Last 5):  0.8 VS 2.2
FT Gs (AHR):  1.0 VS 1.5

Scored at least 1 Goal (All M):  0.5 VS 0.83
Average conceded per match (All M): 1.33 VS 0.83
Scored at least 1 Goal (Last 5)):  0.33 VS 1.0
Scored at least 1 Goal (AHR):  0.75 VS 0.8
"
19,2025-02-01,Cambridge,Wycombe,"1,17","2,93","Action: Double Chance X2 , O1.5 
","Home: Cambridge, Away: Wycombe
Pts (All M): 21 VS 55
Pts Against Higher: 1 VS 30
Pts (Last 5): 7 VS 13
Position: 22 VS 2

BTTS (All M): 0.46 VS 0.79
Shots (All M):  12.3 VS 12.1
Shots (Last 5):  14.0 VS 10.8
Shots (AHR):  11.0 VS 12.1

Shots Tar (All M):  4.4 VS 4.9
Shots Tar (Last 5):  4.7 VS 4.7
Shots Tar (AHR):  3.0 VS 4.9

HT Gs (All M)):  0.6 VS 1.0
HT Gs (Last 5):  0.7 VS 1.2
HT Gs (AHR):  0.5 VS 1.0
FT Gs (All M)):  1.3 VS 2.4
FT Gs (Last 5):  1.5 VS 2.5
FT Gs (AHR):  0.5 VS 2.4

Scored at least 1 Goal (All M):  0.62 VS 1.0
Average conceded per match (All M): 1.62 VS 1.36
Scored at least 1 Goal (Last 5)):  0.67 VS 1.0
Scored at least 1 Goal (AHR):  0.5 VS 1.0
"
15,2025-02-01,Walsall,Salford,"2,06","0,94","Action: Draw no bet 1X 
","Home: Walsall, Away: Salford
Pts (All M): 58 VS 42
Pts Against Higher: 10 VS 3
Pts (Last 5): 18 VS 10
Position: 1 VS 8

BTTS (All M): 0.64 VS 0.54
Shots (All M):  15.8 VS 10.7
Shots (Last 5):  17.8 VS 12.7
Shots (AHR):  15.0 VS 9.0

Shots Tar (All M):  5.4 VS 3.5
Shots Tar (Last 5):  6.3 VS 3.8
Shots Tar (AHR):  4.5 VS 3.3

HT Gs (All M)):  0.8 VS 0.3
HT Gs (Last 5):  0.7 VS 0.3
HT Gs (AHR):  0.2 VS 0.3
FT Gs (All M)):  2.4 VS 1.1
FT Gs (Last 5):  2.8 VS 1.2
FT Gs (AHR):  2.0 VS 0.7

Scored at least 1 Goal (All M):  1.0 VS 0.77
Average conceded per match (All M): 1.21 VS 0.92
Scored at least 1 Goal (Last 5)):  1.0 VS 0.83
Scored at least 1 Goal (AHR):  1.0 VS 0.67
"
17,2025-02-01,Birmingham,Rotherham,"1,51","0,19","Action: Draw no bet 1X 
","Home: Birmingham, Away: Rotherham
Pts (All M): 57 VS 34
Pts Against Higher: 17 VS 1
Pts (Last 5): 14 VS 4
Position: 1 VS 15

BTTS (All M): 0.42 VS 0.31
Shots (All M):  14.7 VS 11.2
Shots (Last 5):  14.8 VS 10.0
Shots (AHR):  12.9 VS 13.0

Shots Tar (All M):  4.8 VS 3.4
Shots Tar (Last 5):  4.2 VS 3.2
Shots Tar (AHR):  5.4 VS 4.3

HT Gs (All M)):  0.8 VS 0.3
HT Gs (Last 5):  1.0 VS 0.2
HT Gs (AHR):  0.7 VS 0.0
FT Gs (All M)):  1.7 VS 0.7
FT Gs (Last 5):  1.3 VS 0.5
FT Gs (AHR):  1.6 VS 0.0

Scored at least 1 Goal (All M):  0.92 VS 0.46
Average conceded per match (All M): 0.5 VS 1.31
Scored at least 1 Goal (Last 5)):  0.83 VS 0.33
Scored at least 1 Goal (AHR):  0.86 VS 0.0
"
0,2025-02-01,Braunschweig,FC Koln,"2,01","1,69",No decision Made,"Home: Braunschweig, Away: FC Koln
Pts (All M): 15 VS 34
Pts Against Higher: 6 VS 17
Pts (Last 5): 9 VS 12
Position: 17 VS 1

BTTS (All M): 0.44 VS 0.44
Shots (All M):  13.0 VS 14.2
Shots (Last 5):  11.7 VS 11.7
Shots (AHR):  20.0 VS 14.2

Shots Tar (All M):  4.8 VS 5.7
Shots Tar (Last 5):  3.8 VS 3.8
Shots Tar (AHR):  8.0 VS 5.7

HT Gs (All M)):  0.6 VS 0.9
HT Gs (Last 5):  0.5 VS 0.7
HT Gs (AHR):  0.7 VS 0.9
FT Gs (All M)):  1.1 VS 1.3
FT Gs (Last 5):  1.0 VS 0.8
FT Gs (AHR):  2.0 VS 1.3

Scored at least 1 Goal (All M):  0.67 VS 0.89
Average conceded per match (All M): 1.11 VS 1.22
Scored at least 1 Goal (Last 5)):  0.5 VS 0.83
Scored at least 1 Goal (AHR):  1.0 VS 0.89
"
1,2025-02-01,Fortuna Dusseldorf,Ulm,"1,67","1,11",No decision Made,"Home: Fortuna Dusseldorf, Away: Ulm
Pts (All M): 30 VS 17
Pts Against Higher: 10 VS 5
Pts (Last 5): 5 VS 4
Position: 7 VS 16

BTTS (All M): 0.5 VS 0.5
Shots (All M):  16.9 VS 10.3
Shots (Last 5):  15.8 VS 10.0
Shots (AHR):  16.9 VS 10.2

Shots Tar (All M):  5.9 VS 3.5
Shots Tar (Last 5):  6.0 VS 3.8
Shots Tar (AHR):  5.9 VS 3.0

HT Gs (All M)):  0.8 VS 0.5
HT Gs (Last 5):  1.2 VS 0.7
HT Gs (AHR):  0.8 VS 0.5
FT Gs (All M)):  1.6 VS 0.9
FT Gs (Last 5):  2.2 VS 1.0
FT Gs (AHR):  1.6 VS 1.0

Scored at least 1 Goal (All M):  0.7 VS 0.5
Average conceded per match (All M): 1.9 VS 1.2
Scored at least 1 Goal (Last 5)):  0.83 VS 0.67
Scored at least 1 Goal (AHR):  0.7 VS 0.5
"
4,2025-02-01,AFC Wimbledon,Bradford,"0,61","0,65",No decision Made,"Home: AFC Wimbledon, Away: Bradford
Pts (All M): 44 VS 44
Pts Against Higher: 3 VS 1
Pts (Last 5): 11 VS 6
Position: 7 VS 6

BTTS (All M): 0.31 VS 0.69
Shots (All M):  12.5 VS 10.1
Shots (Last 5):  9.2 VS 10.3
Shots (AHR):  11.0 VS 9.3

Shots Tar (All M):  4.8 VS 2.7
Shots Tar (Last 5):  3.5 VS 2.5
Shots Tar (AHR):  3.7 VS 2.3

HT Gs (All M)):  0.8 VS 0.6
HT Gs (Last 5):  0.5 VS 0.3
HT Gs (AHR):  0.3 VS 0.3
FT Gs (All M)):  1.8 VS 1.1
FT Gs (Last 5):  1.2 VS 0.8
FT Gs (AHR):  0.3 VS 0.7

Scored at least 1 Goal (All M):  0.85 VS 0.85
Average conceded per match (All M): 0.69 VS 1.31
Scored at least 1 Goal (Last 5)):  0.83 VS 0.67
Scored at least 1 Goal (AHR):  0.33 VS 0.67
"
