,team,TotalElo,HomeTotalElo,HomeWins,AwayWins,AwayTotalElo,HomeAttackElo,HomeDefenseElo,AwayAttackElo,AwayDefenseElo,AttHS,AttHST,AttHC,AttHF,AttHY,AttHR,AttFTHG,AttHTHG,AttCHS,AttCHST,AttCHC,AttCHF,AttCHY,AttCHR,AttCFTHG,AttCHTHG,AttAS,AttAST,AttAC,AttAF,AttAY,AttAR,AttFTAG,AttHTAG,AttCAS,AttCAST,AttCAC,AttCAF,AttCAY,AttCAR,AttCFTAG,AttCHTAG,ser
63,Mansfield,4.8,4.5,A,A,5.1,1.5,6.5,4.5,5.5,13.07,4.14,5.21,11.93,1.79,0.0,1.14,0.71,13.57,4.21,5.21,10.5,2.07,0.0,1.14,0.57,11.56,3.62,5.25,14.12,2.56,0.06,1.38,0.88,12.56,4.56,4.56,11.12,1.56,0.12,1.56,0.75,leagueOne
85,Mantova,3.4,3.9,A,A,2.9,1.5,5.5,2,3.5,12.42,4.5,3.67,20.0,2.0,0.0,1.17,0.5,13.17,4.67,4.0,16.0,3.5,0.17,1.17,0.5,13.0,4.14,4.57,18.86,2.79,0.21,1.21,0.43,14.64,5.07,4.71,12.93,2.79,0.07,1.79,0.86,serieb
123,Marseille,8.95,8.3,A,A,9.6,8.5,7.5,10.0,8,14.73,6.27,5.36,12.55,2.18,0.36,2.09,0.64,9.64,3.91,3.0,10.27,1.27,0.09,1.45,0.73,12.42,5.92,4.33,10.0,1.92,0.17,2.25,0.92,9.58,4.42,3.92,12.42,2.08,0.17,1.08,0.5,ligue1
100,Mechelen,5.75,7.9,A,A,3.6,8.5,7.5,1.5,5.0,13.69,5.92,5.15,10.31,1.85,0.0,2.15,0.85,12.15,4.31,4.38,11.23,1.85,0.08,1.38,0.92,12.46,4.77,4.85,9.62,1.92,0.08,1.0,0.23,15.85,5.46,6.85,9.54,1.69,0.08,1.46,0.69,jupiler
46,Middlesbrough,8.1,8.0,A,A,8.2,8.0,8,8.5,7.0,14.82,4.53,5.53,9.47,1.41,0.12,1.41,0.88,9.29,3.18,4.41,11.82,2.88,0.0,1.12,0.53,13.0,5.31,4.88,9.56,1.69,0.0,1.69,0.75,11.5,4.12,5.62,11.0,1.75,0.06,1.62,0.56,championship
128,Milan,8.35,8.9,A,A,7.8,9.0,8.5,8.0,7.0,15.77,5.31,6.92,10.15,1.38,0.15,1.54,1.0,9.54,2.92,4.0,10.77,2.38,0.08,0.69,0.38,14.75,5.67,5.58,11.5,2.17,0.17,1.42,0.5,11.58,4.08,3.83,13.83,1.58,0.08,1.42,0.5,seriea
47,Millwall,5.0,5.9,A,A,4.1,5.5,7.5,3.5,6.5,12.12,3.82,4.94,12.53,1.47,0.06,1.12,0.53,9.24,3.0,4.94,13.24,1.53,0.0,0.88,0.41,10.71,3.71,4.88,13.12,2.24,0.0,0.88,0.29,11.35,3.29,5.24,11.71,1.24,0.0,1.12,0.59,championship
28,Milton Keynes Dons,6.05,7.3,A,A,4.8,7.0,7.5,4.5,5.0,11.59,4.41,4.94,10.53,1.88,0.06,1.24,0.76,10.41,3.59,4.18,11.82,2.0,0.12,0.94,0.35,10.57,4.43,3.57,12.0,2.07,0.0,1.64,0.86,14.43,6.07,4.64,11.57,1.36,0.0,2.0,0.93,leagueTwo
80,Modena,5.0,6.4,A,A,3.6,5.5,7.0,1.5,5.0,12.31,4.38,5.15,13.62,2.0,0.08,1.46,0.77,13.0,3.69,3.92,13.69,2.85,0.15,1.0,0.54,10.46,3.46,4.38,12.92,2.46,0.23,1.0,0.69,14.62,4.15,5.62,15.15,2.23,0.0,1.46,0.77,serieb
109,Monaco,8.3,7.9,A,A,8.7,8.0,7.5,9.5,5.5,15.33,5.67,4.75,13.33,1.75,0.08,2.33,0.75,9.75,4.25,4.08,14.5,2.25,0.17,1.25,0.67,13.91,5.36,5.91,14.36,1.73,0.18,1.55,0.82,10.45,3.91,3.0,12.55,2.0,0.0,1.45,0.64,ligue1
112,Montpellier,1.95,3.0,A,A,0.9,2.5,5.0,0,4.5,12.0,4.67,5.5,12.42,2.92,0.42,1.33,0.5,16.08,6.42,4.83,15.75,2.5,0.08,2.42,1.33,10.55,3.18,4.55,12.36,3.0,0.09,0.45,0.18,16.09,5.45,5.36,12.91,1.82,0.0,2.27,0.91,ligue1
137,Monza,1.9,1.9,A,A,1.9,1,5.5,1.5,3.5,10.54,2.69,3.92,14.15,2.46,0.15,0.77,0.46,13.54,4.38,4.23,15.69,1.77,0.0,1.31,0.85,6.33,2.42,3.33,15.17,2.92,0.08,0.92,0.42,14.83,4.58,6.08,14.0,1.42,0.0,1.83,0.75,seriea
39,Morecambe,4.65,5.0,A,A,4.3,2.0,7.0,1,6.5,11.93,3.93,5.57,11.57,1.57,0.14,1.14,0.43,12.79,4.36,4.21,13.5,2.29,0.0,1.71,0.64,9.53,3.12,4.71,12.88,2.12,0.06,0.76,0.24,13.94,4.94,6.0,12.29,1.59,0.06,1.41,0.65,leagueTwo
135,Moreirense,4.85,5.0,A,A,4.7,5,5.0,2,6.5,10.27,4.55,3.18,16.55,2.18,0.0,1.36,0.82,12.18,3.27,5.73,14.18,2.73,0.0,1.18,0.45,10.09,3.45,3.64,13.09,2.18,0.18,1.18,0.45,12.27,4.73,5.82,17.0,1.55,0.0,1.82,0.82,portugal
109,Motherwell,3.7,4.4,A,A,3.0,3.5,5.0,1.5,4.0,10.0,3.54,4.38,10.23,1.31,0.23,1.31,1.08,15.15,6.38,5.85,13.08,2.08,0.15,1.69,0.69,9.54,3.23,4.85,11.31,2.54,0.08,1.0,0.38,15.08,5.23,7.92,11.85,2.0,0.23,1.77,0.69,scotchamp
18,NAC Breda,2.4,2.6,A,A,2.2,2,5.0,1.5,5.0,12.08,4.33,4.75,10.58,1.58,0.25,1.33,0.75,14.92,5.08,5.42,10.42,1.42,0.08,1.25,0.5,11.18,3.55,3.64,9.36,1.64,0.09,0.91,0.36,18.64,6.18,6.73,8.82,1.36,0.0,2.36,0.91,ered
133,Nacional,4.25,6.7,A,A,1.8,7,6.5,0,3,13.55,4.64,4.45,13.18,2.45,0.0,1.27,1.0,13.09,4.45,5.55,14.18,3.36,0.09,1.45,0.55,11.91,3.18,3.82,14.27,2.45,0.18,0.64,0.27,15.82,4.36,7.55,13.91,1.45,0.09,1.27,0.64,portugal
120,Nantes,3.75,4.5,A,A,3.0,4,6.5,2,7.0,12.82,4.55,5.27,13.45,2.0,0.09,1.27,0.55,10.36,4.55,6.55,10.64,1.27,0.27,1.36,0.45,8.75,4.0,3.92,10.58,2.0,0.08,1.17,0.67,13.33,4.92,6.17,11.08,1.58,0.08,2.08,1.0,ligue1
140,Napoli,6.4,7.7,A,A,5.1,7.5,8.5,4.5,7.5,16.58,4.33,7.42,10.75,1.0,0.0,1.5,0.5,8.08,2.17,3.08,9.92,2.0,0.08,0.67,0.5,10.21,3.29,4.07,11.64,1.29,0.0,1.71,0.93,11.0,3.36,4.29,14.07,1.86,0.0,0.93,0.36,seriea
24,Newcastle,6.4,7.3,A,A,5.5,7.5,6.5,5.0,7.5,14.69,4.92,5.92,11.69,2.31,0.08,1.85,1.0,13.69,4.69,6.0,13.54,3.31,0.08,1.31,0.46,12.54,4.23,5.69,9.08,1.54,0.0,1.69,0.92,12.85,4.77,4.85,12.31,2.31,0.0,1.46,1.0,prem
