,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
0,2025-02-08,Norwich,Derby,"2,75","1,08","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Norwich, Away: Derby
Pts (All M): 42 VS 27
Pts Against Higher: 26 VS 5
Pts (Last 5): 13 VS 1
Position: 9 VS 22

BTTS (All M): 0.86 VS 0.67
Shots (All M):  14.4 VS 8.6
Shots (Last 5):  16.3 VS 9.0
Shots (AHR):  14.4 VS 7.9

Shots Tar (All M):  5.7 VS 2.9
Shots Tar (Last 5):  6.2 VS 3.7
Shots Tar (AHR):  5.7 VS 2.7

HT Gs (All M)):  1.1 VS 0.2
HT Gs (Last 5):  1.0 VS 0.0
HT Gs (AHR):  1.1 VS 0.2
FT Gs (All M)):  2.6 VS 0.9
FT Gs (Last 5):  2.5 VS 0.7
FT Gs (AHR):  2.6 VS 0.8

Scored at least 1 Goal (All M):  0.93 VS 0.67
Average conceded per match (All M): 1.36 VS 1.73
Scored at least 1 Goal (Last 5)):  1.0 VS 0.5
Scored at least 1 Goal (AHR):  0.93 VS 0.5
"
2,2025-02-08,Mainz,Augsburg,"2,51","0,74","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Mainz, Away: Augsburg
Pts (All M): 31 VS 26
Pts Against Higher: 10 VS 4
Pts (Last 5): 16 VS 8
Position: 6 VS 12

BTTS (All M): 0.5 VS 0.5
Shots (All M):  13.2 VS 8.3
Shots (Last 5):  13.8 VS 8.2
Shots (AHR):  13.7 VS 7.0

Shots Tar (All M):  4.8 VS 2.4
Shots Tar (Last 5):  6.0 VS 3.0
Shots Tar (AHR):  5.0 VS 2.4

HT Gs (All M)):  0.8 VS 0.6
HT Gs (Last 5):  1.2 VS 0.8
HT Gs (AHR):  0.8 VS 0.4
FT Gs (All M)):  1.4 VS 1.0
FT Gs (Last 5):  2.0 VS 1.3
FT Gs (AHR):  1.5 VS 1.0

Scored at least 1 Goal (All M):  0.8 VS 0.7
Average conceded per match (All M): 1.0 VS 2.3
Scored at least 1 Goal (Last 5)):  1.0 VS 0.83
Scored at least 1 Goal (AHR):  0.83 VS 0.6
"
1,2025-02-08,Freiburg,Heidenheim,"2,84","2,30","Action: O1.5  , Risky Double Chance 1X
","Home: Freiburg, Away: Heidenheim
Pts (All M): 30 VS 14
Pts Against Higher: 16 VS 4
Pts (Last 5): 13 VS 1
Position: 7 VS 16

BTTS (All M): 0.78 VS 0.6
Shots (All M):  14.3 VS 11.0
Shots (Last 5):  13.5 VS 10.0
Shots (AHR):  12.8 VS 11.0

Shots Tar (All M):  5.1 VS 4.2
Shots Tar (Last 5):  5.2 VS 3.7
Shots Tar (AHR):  4.6 VS 4.7

HT Gs (All M)):  0.9 VS 0.6
HT Gs (Last 5):  1.2 VS 0.5
HT Gs (AHR):  1.0 VS 0.9
FT Gs (All M)):  2.0 VS 1.6
FT Gs (Last 5):  2.2 VS 1.3
FT Gs (AHR):  2.0 VS 2.0

Scored at least 1 Goal (All M):  0.78 VS 0.8
Average conceded per match (All M): 1.44 VS 2.4
Scored at least 1 Goal (Last 5)):  0.83 VS 0.67
Scored at least 1 Goal (AHR):  0.75 VS 1.0
"
3,2025-02-08,Wolfsburg,Leverkusen,"2,06","3,12","Action: O1.5 , Risky Double Chance X2
","Home: Wolfsburg, Away: Leverkusen
Pts (All M): 29 VS 45
Pts Against Higher: 4 VS 12
Pts (Last 5): 11 VS 12
Position: 11 VS 2

BTTS (All M): 0.9 VS 0.89
Shots (All M):  13.7 VS 12.9
Shots (Last 5):  15.0 VS 11.3
Shots (AHR):  10.8 VS 12.8

Shots Tar (All M):  4.5 VS 5.2
Shots Tar (Last 5):  5.2 VS 4.5
Shots Tar (AHR):  3.2 VS 5.5

HT Gs (All M)):  0.4 VS 1.7
HT Gs (Last 5):  0.3 VS 1.7
HT Gs (AHR):  0.5 VS 1.8
FT Gs (All M)):  2.1 VS 2.2
FT Gs (Last 5):  2.3 VS 2.0
FT Gs (AHR):  2.2 VS 2.2

Scored at least 1 Goal (All M):  1.0 VS 1.0
Average conceded per match (All M): 2.1 VS 1.33
Scored at least 1 Goal (Last 5)):  1.0 VS 1.0
Scored at least 1 Goal (AHR):  1.0 VS 1.0
"
6,2025-02-09,Angers,Marseille,"0,80","3,72","Action: Double Chance X2 , O1.5 , Risky Double Chance X2
","Home: Angers, Away: Marseille
Pts (All M): 23 VS 40
Pts Against Higher: 0 VS 18
Pts (Last 5): 10 VS 15
Position: 11 VS 2

BTTS (All M): 0.6 VS 0.6
Shots (All M):  10.3 VS 12.3
Shots (Last 5):  11.5 VS 14.8
Shots (AHR):  9.0 VS 10.1

Shots Tar (All M):  3.5 VS 5.9
Shots Tar (Last 5):  3.5 VS 6.8
Shots Tar (AHR):  3.8 VS 4.9

HT Gs (All M)):  0.5 VS 1.1
HT Gs (Last 5):  0.7 VS 1.0
HT Gs (AHR):  0.0 VS 0.9
FT Gs (All M)):  1.4 VS 2.5
FT Gs (Last 5):  1.8 VS 2.3
FT Gs (AHR):  0.8 VS 2.2

Scored at least 1 Goal (All M):  0.8 VS 0.8
Average conceded per match (All M): 1.9 VS 1.0
Scored at least 1 Goal (Last 5)):  0.83 VS 0.83
Scored at least 1 Goal (AHR):  0.5 VS 0.75
"
4,2025-02-09,For Sittard,Ajax,"0,68","2,30","Action: Double Chance X2 , Risky Double Chance X2
","Home: For Sittard, Away: Ajax
Pts (All M): 26 VS 48
Pts Against Higher: 3 VS 11
Pts (Last 5): 9 VS 13
Position: 8 VS 2

BTTS (All M): 0.4 VS 0.6
Shots (All M):  12.4 VS 12.7
Shots (Last 5):  12.2 VS 10.3
Shots (AHR):  10.8 VS 11.3

Shots Tar (All M):  3.6 VS 4.9
Shots Tar (Last 5):  3.2 VS 5.2
Shots Tar (AHR):  2.8 VS 5.1

HT Gs (All M)):  0.6 VS 0.6
HT Gs (Last 5):  0.7 VS 0.7
HT Gs (AHR):  0.2 VS 0.6
FT Gs (All M)):  1.4 VS 1.9
FT Gs (Last 5):  1.5 VS 1.8
FT Gs (AHR):  0.8 VS 1.6

Scored at least 1 Goal (All M):  0.8 VS 1.0
Average conceded per match (All M): 1.7 VS 1.1
Scored at least 1 Goal (Last 5)):  0.83 VS 1.0
Scored at least 1 Goal (AHR):  0.75 VS 1.0
"
8,2025-02-09,Lecce,Bologna,"0,36","2,73","Action: Double Chance X2 , Risky Double Chance X2
","Home: Lecce, Away: Bologna
Pts (All M): 23 VS 37
Pts Against Higher: 1 VS 14
Pts (Last 5): 6 VS 9
Position: 13 VS 7

BTTS (All M): 0.45 VS 0.64
Shots (All M):  13.3 VS 10.9
Shots (Last 5):  12.8 VS 9.8
Shots (AHR):  12.4 VS 10.5

Shots Tar (All M):  3.8 VS 4.8
Shots Tar (Last 5):  3.7 VS 4.7
Shots Tar (AHR):  3.8 VS 4.5

HT Gs (All M)):  0.4 VS 0.6
HT Gs (Last 5):  0.3 VS 0.7
HT Gs (AHR):  0.0 VS 0.6
FT Gs (All M)):  0.8 VS 1.6
FT Gs (Last 5):  0.8 VS 1.7
FT Gs (AHR):  0.4 VS 1.6

Scored at least 1 Goal (All M):  0.64 VS 0.82
Average conceded per match (All M): 1.91 VS 1.64
Scored at least 1 Goal (Last 5)):  0.67 VS 0.83
Scored at least 1 Goal (AHR):  0.4 VS 0.8
"
5,2025-02-09,Utrecht,Almere City,"2,41","0,41","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Utrecht, Away: Almere City
Pts (All M): 42 VS 10
Pts Against Higher: 17 VS 0
Pts (Last 5): 5 VS 2
Position: 3 VS 18

BTTS (All M): 0.6 VS 0.11
Shots (All M):  15.2 VS 8.6
Shots (Last 5):  16.3 VS 7.3
Shots (AHR):  15.2 VS 6.0

Shots Tar (All M):  4.3 VS 2.3
Shots Tar (Last 5):  4.5 VS 1.3
Shots Tar (AHR):  4.3 VS 0.5

HT Gs (All M)):  0.8 VS 0.2
HT Gs (Last 5):  0.5 VS 0.3
HT Gs (AHR):  0.8 VS 0.0
FT Gs (All M)):  1.7 VS 0.2
FT Gs (Last 5):  1.3 VS 0.3
FT Gs (AHR):  1.7 VS 0.0

Scored at least 1 Goal (All M):  0.8 VS 0.11
Average conceded per match (All M): 2.0 VS 1.67
Scored at least 1 Goal (Last 5)):  0.67 VS 0.17
Scored at least 1 Goal (AHR):  0.8 VS 0.0
"
7,2025-02-09,Strasbourg,Montpellier,"2,51","0,91","Action: Draw no bet 1X  , Risky Double Chance 1X
","Home: Strasbourg, Away: Montpellier
Pts (All M): 27 VS 15
Pts Against Higher: 18 VS 3
Pts (Last 5): 11 VS 3
Position: 9 VS 17

BTTS (All M): 0.78 VS 0.33
Shots (All M):  9.3 VS 10.2
Shots (Last 5):  8.5 VS 10.8
Shots (AHR):  9.3 VS 8.8

Shots Tar (All M):  4.6 VS 3.6
Shots Tar (Last 5):  4.2 VS 3.5
Shots Tar (AHR):  4.6 VS 4.2

HT Gs (All M)):  0.8 VS 0.2
HT Gs (Last 5):  0.7 VS 0.2
HT Gs (AHR):  0.8 VS 0.2
FT Gs (All M)):  1.8 VS 0.6
FT Gs (Last 5):  1.8 VS 0.7
FT Gs (AHR):  1.8 VS 0.6

Scored at least 1 Goal (All M):  0.89 VS 0.33
Average conceded per match (All M): 1.11 VS 2.33
Scored at least 1 Goal (Last 5)):  0.83 VS 0.33
Scored at least 1 Goal (AHR):  0.89 VS 0.4
"
